"fips_state","state_code","state_name","group","vaxx_count","pct_of_vaxx_total","pct_of_vaxx_known","vaxx_total","vaccination_rate","state_residents","pct_of_state"
"01","AL","Alabama","raceeth_aian",1894,0.00115302196464228,0.00380003089782251,1642640,0.0978103697583144,19364,0.00394926970938278
"01","AL","Alabama","raceeth_asian",14101,0.0085843520187016,0.0282915711141474,1642640,0.216223261519589,65215,0.0133005383235591
"01","AL","Alabama","raceeth_black",138709,0.0844427263429601,0.278299094934563,1642640,0.105657206885021,1312821,0.267748616460525
"01","AL","Alabama","raceeth_hispanic",31068,0.018913456387279,0.0623333473777981,1642640,0.141671530716475,219296,0.0447252143249745
"01","AL","Alabama","raceeth_nhpi",548,0.000333609311839478,0.00109948095670894,1642640,0.360526315789474,1520,0.000310002579955682
"01","AL","Alabama","raceeth_other",7382,0.00449398529196903,0.0148108912817982,1642640,0.0802269219901319,92014,0.0187661693368698
"01","AL","Alabama","raceeth_unknown",1144223,0.696575634344713,,1642640,,,
"01","AL","Alabama","raceeth_white",304715,0.185503214337895,0.611365583437162,1642640,0.0954335404037952,3192955,0.651200189264733
"02","AK","Alaska","raceeth_aian",47100,0.147197159813613,0.232491559223646,319979,0.415098663047406,113467,0.155105974341975
"02","AK","Alaska","raceeth_asian",10321,0.0322552417502399,0.0509457618417675,319979,0.238239231799086,43322,0.0592198702745559
"02","AK","Alaska","raceeth_black",3806,0.0118945305785692,0.0187868975457579,319979,0.174803655904101,21773,0.0297630357667676
"02","AK","Alaska","raceeth_hispanic",11226,0.0350835523581235,0.055412956344897,319979,0.213633249600365,52548,0.0718315346287652
"02","AK","Alaska","raceeth_nhpi",1542,0.00481906625122274,0.00761150709814994,319979,0.158723623262995,9715,0.0132801126383203
"02","AK","Alaska","raceeth_other",49938,0.156066491863529,0.246500286295338,319979,0.942119760027167,53006,0.0724576068457853
"02","AK","Alaska","raceeth_unknown",117391,0.366870950906153,,319979,,,
"02","AK","Alaska","raceeth_white",78655,0.24581300647855,0.388251031650443,319979,0.179694960636397,437714,0.598341865503831
"04","AZ","Arizona","raceeth_aian",139917,0.0434680087608929,0.0857664591521737,3218850,0.483872306431365,289161,0.0397269189061754
"04","AZ","Arizona","raceeth_asian",44337,0.0137741740062445,0.0271777375117386,3218850,0.188506050118621,235202,0.032313661872003
"04","AZ","Arizona","raceeth_black",46707,0.0145104618108952,0.0286305024237268,3218850,0.146396276387343,319045,0.0438325875288186
"04","AZ","Arizona","raceeth_hispanic",394090,0.122431924445066,0.24156967264364,3218850,0.170558021494059,2310592,0.317444956302052
"04","AZ","Arizona","raceeth_nhpi",2581,0.000801839166161828,0.00158210389782343,3218850,0.193174163610508,13361,0.00183562570161747
"04","AZ","Arizona","raceeth_other",248088,0.0770734889789832,0.152073224255412,3218850,1.36205069643083,182143,0.0250240530027476
"04","AZ","Arizona","raceeth_unknown",1587478,0.493181726392966,,3218850,,,
"04","AZ","Arizona","raceeth_white",755652,0.23475837643879,0.463200300115486,3218850,0.192316374805845,3929213,0.539822196686586
